"","publisher","journal","role","editor","affiliation","url","date"
"63","Longdom","Advancements in Genetic Engineering","Editorial Board","Yunlong Liu","Department of Medical and Molecular Genetics, School of Medicine Indiana University, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"64","Longdom","Advancements in Genetic Engineering","Editorial Board","Lifang Hou","Department of Preventive Medicine, Feinberg School of Medicine Northwestern University, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"65","Longdom","Advancements in Genetic Engineering","Editorial Board","Eirini P Papapetrou","Department of Medicine University of Washington, WA, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"66","Longdom","Advancements in Genetic Engineering","Editorial Board","Mariateresa Volpicella","Faculty of Sciences Biotechnology, Department of Biochemistry and Molecular Biology University of Bari, Italy","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"67","Longdom","Advancements in Genetic Engineering","Editorial Board","Travis Dunckley","Neurogenomics Division, Translational Genomics Research Institute USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"68","Longdom","Advancements in Genetic Engineering","Editorial Board","In Hyun Park","Yale Stem Cell Center, Department of Genetics Yale University School of Medicine, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"69","Longdom","Advancements in Genetic Engineering","Editorial Board","Tzivian Lilian","Department of Nurses and Emergency Medicine Ben Gurion University of Negev, Israel","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"70","Longdom","Advancements in Genetic Engineering","Editorial Board","Wenlong Tang","Department of Biomedical Engineering Azusa Pacific University, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"71","Longdom","Advancements in Genetic Engineering","Editorial Board","Srinivas Reddy Alla","La Jolla Bioengineering Institute San Diego, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"72","Longdom","Advancements in Genetic Engineering","Editorial Board","Lily Chen","Department of Pathology Johns Hopkins University, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"73","Longdom","Advancements in Genetic Engineering","Editorial Board","Yue Zhang","Research Center- CHUM University of Montreal, Canada","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"74","Longdom","Advancements in Genetic Engineering","Editorial Board","Rong Shao","Pioneer Valley Life Sciences Institute University of Massachusetts, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"75","Longdom","Advancements in Genetic Engineering","Editorial Board","Zhongxue Chen","Department of Epidemiology & Biostatistics School of Public Health Indiana University Bloomington, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"76","Longdom","Advancements in Genetic Engineering","Editorial Board","Jian-Feng Li","Department of Genetics, Harvard Medical School USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"77","Longdom","Advancements in Genetic Engineering","Editorial Board","Bin Guan","Department of Pathology Johns Hopkins University, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"78","Longdom","Advancements in Genetic Engineering","Editorial Board","Daoyan Wei","Department of Gastrointestinal (GI) Medical Oncology University of Texas, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"79","Longdom","Advancements in Genetic Engineering","Editorial Board","Baojian Fan","Department of Ophthalmology, Massachusetts Eye and Ear Infirmary, Harvard Medical School USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"80","Longdom","Advancements in Genetic Engineering","Editorial Board","Can Martin Zhang","Genetics and Aging Research Unit, Harvard Medical School USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"81","Longdom","Advancements in Genetic Engineering","Editorial Board","Fanglin Zhang","Department of Neurology Vanderbilt University, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"82","Longdom","Advancements in Genetic Engineering","Editorial Board","Yuen-Jong Liu","Beth Israel Deaconess Medical Center, Harvard Medical School USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"83","Longdom","Advancements in Genetic Engineering","Editorial Board","Kenji Fujino","National Agriculture and Food Research Organization Japan","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"84","Longdom","Advancements in Genetic Engineering","Editorial Board","Che-Lun Hung","Department of Computer Science and Communication Engineering Providence University, Taiwan","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"85","Longdom","Advancements in Genetic Engineering","Editorial Board","Nicolas Gurtler","Department of Otolaryngology University of Basel, Switzerland","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"86","Longdom","Advancements in Genetic Engineering","Editorial Board","Vijay Kumar Yadav","The Wellcome Trust Sanger Institute Hinxton, Cambridge, United Kingdom","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"87","Longdom","Advancements in Genetic Engineering","Editorial Board","Alireza Mazinanian","Medical University of Vienna, Austria","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"88","Longdom","Advancements in Genetic Engineering","Editorial Board","Andrea Mastinu","Department of Molecular and Translational Medicine University of Brescia, Italy","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"89","Longdom","Advancements in Genetic Engineering","Editorial Board","Yehia Abdel-Galele Mahmoud","Professor of Microbiology, Faculty of Science, Botany Department Tanta University, Egypt","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"90","Longdom","Advancements in Genetic Engineering","Editorial Board","Mohd Fareed","Department of Zoology Aligarh Muslim University, India","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"91","Longdom","Advancements in Genetic Engineering","Editorial Board","Ming Pei","Editor-in-Chief Associate Professor, Department of Orthopaedics West Virginia University, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"92","Longdom","Advancements in Genetic Engineering","Editorial Board","Maulin P. Shah","Head and Senior Manager, Industrial Waste Water Research Lab, Enviro Technology Limited Gujarat, India","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
