"","publisher","journal","role","editor","affiliation","url","date"
"55","SCIRP","Advances in Alzheimer's Disease","Editorial Board","Liqin Zhao","University of Kansas, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1408",2021-05-19
"56","SCIRP","Advances in Alzheimer's Disease","Editorial Board","Xin-Fu Zhou","University of South Australia, Australia","https://www.scirp.org/journal/editorialboard.aspx?journalid=1408",2021-05-19
"57","SCIRP","Advances in Alzheimer's Disease","Editorial Board","Lada Zivkovic","The Faculty of Pharmacy University of Belgrade, Serbia","https://www.scirp.org/journal/editorialboard.aspx?journalid=1408",2021-05-19
"58","SCIRP","Advances in Anthropology","Editor-in-Chief","Anatole Klyosov","MIR International Inc., USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=737",2021-05-19
"59","SCIRP","Advances in Anthropology","Editorial Board","Robert G. Bednarik","International Federation of Rock Art Organisations (IFRAO), Australia","https://www.scirp.org/journal/editorialboard.aspx?journalid=737",2021-05-19
"60","SCIRP","Advances in Anthropology","Editorial Board","Ella Been","Faculty of Health Professions, Israel","https://www.scirp.org/journal/editorialboard.aspx?journalid=737",2021-05-19
"61","SCIRP","Advances in Anthropology","Editorial Board","Marija Djuric","University of Belgrade, Serbia","https://www.scirp.org/journal/editorialboard.aspx?journalid=737",2021-05-19
"62","SCIRP","Advances in Anthropology","Editorial Board","Ferdinand Hennerbichler","University of Sulaimani, Iraq","https://www.scirp.org/journal/editorialboard.aspx?journalid=737",2021-05-19
"63","SCIRP","Advances in Anthropology","Editorial Board","Hui Li","Fudan University, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=737",2021-05-19
"64","SCIRP","Advances in Anthropology","Editorial Board","Felix Moos","The University of Kansas, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=737",2021-05-19
"65","SCIRP","Advances in Anthropology","Editorial Board","Zubia Mumtaz","University of Alberta, Canada","https://www.scirp.org/journal/editorialboard.aspx?journalid=737",2021-05-19
"66","SCIRP","Advances in Anthropology","Editorial Board","Bruce M. Rothschild","Northeastern Ohio Universities College of Medicine, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=737",2021-05-19
"67","SCIRP","Advances in Anthropology","Editorial Board","Anek Ram Sankhyan","Anthropological Survey of India (AnSI), India","https://www.scirp.org/journal/editorialboard.aspx?journalid=737",2021-05-19
"68","SCIRP","Advances in Anthropology","Editorial Board","Luca Sineo","University of Palermo, Italy","https://www.scirp.org/journal/editorialboard.aspx?journalid=737",2021-05-19
"69","SCIRP","Advances in Anthropology","Editorial Board","Giancarlo Tiziano Tomezzoli","European Patent Office, Germany","https://www.scirp.org/journal/editorialboard.aspx?journalid=737",2021-05-19
"70","SCIRP","Advances in Applied Sociology","Editorial Board","Ilkka Arminen","Faculty of Social Sciences University of Helsinki, Finland","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"71","SCIRP","Advances in Applied Sociology","Editorial Board","Sheying Chen","Pace University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"72","SCIRP","Advances in Applied Sociology","Editorial Board","Susanne Yuk Ping Choi","The Chinese University of Hong Kong, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"73","SCIRP","Advances in Applied Sociology","Editorial Board","David J. Edelman","University of Cincinnati, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"74","SCIRP","Advances in Applied Sociology","Editorial Board","Germán Carrillo García","University of Murcia, Spain","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"75","SCIRP","Advances in Applied Sociology","Editorial Board","Tulin Gunsen Icli","Hacettepe University, Turkey","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"76","SCIRP","Advances in Applied Sociology","Editorial Board","Ching Man Lam","Chinese University of Hong Kong, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"77","SCIRP","Advances in Applied Sociology","Editorial Board","Tit Wing Lo","City University of Hong Kong, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"78","SCIRP","Advances in Applied Sociology","Editorial Board","José Angel Martínez López","University of Murcia, Spain","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"79","SCIRP","Advances in Applied Sociology","Editorial Board","Joyce L. C. Ma","The Chinese University of Hong Kong, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"80","SCIRP","Advances in Applied Sociology","Editorial Board","Manouchehr (Mitch) Mokhtari","nouchehr (Mitch) Mokhtari, University of Maryland, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"81","SCIRP","Advances in Applied Sociology","Editorial Board","Mikko Niemelä","Social Insurance Institution, Finland","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"82","SCIRP","Advances in Applied Sociology","Editorial Board","Angel Paniagua","Spanish Council for Scientific Research, Spain","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"83","SCIRP","Advances in Applied Sociology","Editorial Board","Heidi E. Stolz","University of Tennessee, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"84","SCIRP","Advances in Applied Sociology","Editorial Board","Robert J. Taormina","University of Macau, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"85","SCIRP","Advances in Applied Sociology","Editorial Board","Stephen Joseph Tripodi","Florida State University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"86","SCIRP","Advances in Applied Sociology","Editorial Board","John E. Tropman","University of Michigan, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"87","SCIRP","Advances in Applied Sociology","Editorial Board","Jeannette Wade","North Carolina A&T State University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"88","SCIRP","Advances in Applied Sociology","Editorial Board","George Wilson","University of Miami, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"89","SCIRP","Advances in Applied Sociology","Editorial Board","Simon Winlow","Teesside University, UK","https://www.scirp.org/journal/editorialboard.aspx?journalid=1002",2021-05-19
"90","SCIRP","Advances in Biological Chemistry","Editor-in-Chief","Gary W. Black","Northumbria University, UK","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
