publisher	issn	journal	role	editor	affiliation	orcid	url	date
PeerJ	2167-8359	PeerJ	Academic Editors	Ramy K Aziz	Cairo University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	My Ahmed Said Azizi Samir	Nanocomposites and bioconcepts sarl	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Thomas Backhaus	University of Gothenburg	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Nicholas A Badcock	University of Western Australia	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Vladimir Badenko	St. Petersburg State Technical University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Elena E Bagley	University of Sydney	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Jürg Bähler	University College London, University of London	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Sabine Bahn	University of Cambridge	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Volker Bahn	Wright State University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Donald J Baird	Water Science & Technology Directorate	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Burcu Bakir-Gungor	Abdullah Gul University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Francisco Balao	Universidad de Sevilla	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	MK Balasubramanian	Temasek Life Sciences Laboratory	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Kathryn Ball	University of Edinburgh	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Teri Balser	Curtin University of Technology	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	David A Baltrus	University of Arizona	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Anastazia Teresa Banaszak	Universidad Nacional Autónoma de México	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Paula Baptista	Instituto Politécnico de Bragança	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Stefan D Baral	Johns Hopkins School of Public Health	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Chiara Barbieri	University of Zurich	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
