editor	role	affiliation	journal	issn	publisher	url	date	orcid
Piet Maes	Editorial Board	KU Leuven, Rega Insitute Leuven, Belgium	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Tereza Magalhaes	Editorial Board	Colorado State University Fort Collins, CO, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Michael Marks	Editorial Board	London School of Hygiene and Tropical Medicine London, UK	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Andrea Marzi	Editorial Board	Rocky Mountain Laboratories, DIR, NIAID, NIH Hamilton, MT, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Daniel K. Masiga	Editorial Board	Animal Health International Centre of Insect Physiology and Ecology Nairobi, Kenya	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Masao Matsuoka	Editorial Board	Kyoto University Kyoto, Japan	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Laura-Isobel McCall	Editorial Board	Department of Chemistry and Biochemistry University of Oklahoma	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Godfred A. Menezes	Editorial Board	RAK College of Medical Sciences (RAKCOMS) RAK Medical &amp; Health Sciences University (RAKMHSU) Ras Al Khaimah, UAE	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Makedonka Mitreva	Editorial Board	Division of Infectious Diseases Washington University School of Medicine Saint Louis, MO, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Wuelton Monteiro	Editorial Board	Department of Research Fundação de Medicina Tropical Dr. Heitor Vieira Dourado School of Health Sciences Universidade do Estado do Amazonas Manaus, Brazil	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Amy C. Morrison	Editorial Board	Entomology University of California, Davis Davis, CA, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Gregory Moseley	Editorial Board	Monash University Victoria, Australia	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Susilene Nardi	Editorial Board	Adolfo Lutz Institute of São José do Rio Preto São Paulo, Brazil	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Ana Lucia Nascimento	Editorial Board	Centro de Biotecnologia Instituto Butantan Sao Paulo, SP, Brazil	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Paul Newton	Editorial Board	Nuffield Department of Medicine University of Oxford, Oxford, UK	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Sergio Costa Oliveira	Editorial Board	Universidade Federal de Minas Gerais Bioquímica e Imunologia Belo Horizonte, Minas Gerais, Brazil	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
L. Fabiano Oliveira	Editorial Board	National Institutes of Health NIAID Rockville, MD, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Domenico Otranto	Editorial Board	Department of Veterinary Medicine  University of Bari Bari, Italy	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Maria Victoria Periago	Editorial Board	Fundación Mundo Sano Buenos Aires, Argentina	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Margaret Phillips	Editorial Board	University of Texas Southwestern Medical Center Dallas, TX, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Helen Price	Editorial Board	Keele University Keele, UK	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Aysegul Taylan Ozkan	Editorial Board	Department of Medical and Clinical Microbiology, Near East University, Nicosia, Cyprus. Microbiology Reference Laboratories Department Public Health Intitution of Turkey Ankara, Turkey	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Anthony Papenfuss	Editorial Board	The Walter and Eliza Hall Institute of Medical Research Parkville, Australia	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Gerson Penna 	Editorial Board	Tropical Medicine Centre University of Brasília Brasília, Brazil and Fiocruz Scool of Government – Oswaldo Cruz Foundation Rio de Janeiro, Brazil	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Richard O. Phillips	Editorial Board	Kwame Nkrumah University of Science and Technology/ Komfo Anokye Teaching Hospital Department of Medicine Kumasi, Ghana	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Mathieu Picardeau	Editorial Board	Laboratoire des Spirochètes Institut Pasteur Paris, France	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Paulo F. P. Pimenta	Editorial Board	Department of Medical Entomology Fundaçao Oswaldo Cruz Belo Horizonte, Brazil	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Javier Pizarro-Cerda	Editorial Board	Yersinia Research Unit Institut Pasteur Paris, France	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Gerd Pluschke	Editorial Board	Department of Medical Parasitology and Infection Biology Swiss Tropical and Public Health Institute Basel, Switzerland	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Ann M. Powers*	Editorial Board	Division of Vector Borne Infectious Diseases Centers for Disease Control and Prevention Fort Collins, CO, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Lisa Ranford-Cartwright	Editorial Board	Institute of Biodiversity University of Glasgow Glasgow, UK	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Sergio Recuenco	Editorial Board	Department of Preventive Medicine and Public Health Universidad Nacional Mayor de San Marcos Lima, Peru	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Robert C. Reiner	Editorial Board	Global Health  University of Washington Seattle, WA, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Justin Remais	Editorial Board	School of Public Health University of California, Berkeley Berkeley, CA, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Todd Reynolds	Editorial Board	Microbiology University of Tennessee Knoxville, TN, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Rebeca Rico–Hesse	Editorial Board	Texas Biomedical Research Institute San Antonio, TX, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Ana Rodriguez	Editorial Board	Department of Microbiology New York University School of Medicine New York, NY, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Amanda Ross	Editorial Board	Epidemiology and Public Health Swiss Tropical and Public Health Institute Basel, Switzerland	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Waleed Saleh Al-Salem	Editorial Board	National Center for Tropical Diseases Saudi Ministry of Health Saudi Arabia	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Jeanne Salje	Editorial Board	Rutgers the State University of New Jersey New Jersey, USA Mahidol Oxford Tropical Medicine Research Insitute Bangkok, Thailand University of Oxford Oford, UK	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Abdallah Samy	Editorial Board	Entomology Department Ain Shams University Cairo, Egypt	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Victor Santos	Editorial Board	Federal University of Alagoas Maceió, Brazil	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Abhay R Satoskar	Editorial Board	Departments of Pathology and Microbiology The Ohio State University Columbus, OH, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Samuel Scarpino	Editorial Board	University of Vermont Burlington, VT, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
