editor	role	affiliation	journal	issn	publisher	url	date	orcid
Indu Murthy	Editorial Board	Center for Study of Science, Technology and Policy India	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-9520-1662
Renata Nagai	Editorial Board	UFPR Brazil	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-1358-5074
Gustavo Nagy	Editorial Board	Universidad de la Republica Uruguay	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-8296-4465
Melissa Nursey-Bray	Editorial Board	University of Adelaide Australia	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-4121-5177
Marta Olazabal	Editorial Board	Basque Centre for Climate Change (BC3) Spain	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-3381-0654
Ben Orlove	Editorial Board	Columbia University USA	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-0489-4219
Ilona Otto	Editorial Board	University of Graz Austria	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-4935-7660
Shlomit Paz	Editorial Board	University of Haifa Israel	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-2659-7362
Asif Qureshi	Editorial Board	Indian Institute of Technology Hyderabad India	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-3329-0166
Alfredo Pérez-Morales	Editorial Board	University of Murcia Spain	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-7532-8711
Srivatsan V Raghavan	Editorial Board	National University of Singapore Singapore	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Subhash Rajpurohit	Editorial Board	Ahmedabad University India	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Abdul Rehman	Editorial Board	Henan Agricultural University China	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Xavier Rodó	Editorial Board	ISGlobal Spain	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Rui Rosa	Editorial Board	University of Lisbon Portugal	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Ricardo Safra de Campos	Editorial Board	Exeter University UK	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-2345-7524
Lalit Sharma	Editorial Board	Zoological Survey of India, Kolkata India	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Haiyun Shi	Editorial Board	Southern University of Science and Technology China	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-5793-1138
AR Siders	Editorial Board	University of Delaware USA	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-6788-8313
Andrea Storto	Editorial Board	National Research Council of Italy Italy	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-3856-8905
Benjamin Sultan	Editorial Board	IRD France	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-0416-0338
Fredolin Tangang	Editorial Board	National University of Malaysia Malaysia	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-4919-1800
Thomas Thaler	Editorial Board	University of Natural Resources and Life Sciences, Vienna Austria	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Jessica Thorn	Editorial Board	University of York/University of Cape Town UK/South Africa	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-2108-2554
Kevin Tougeron	Editorial Board	UC Louvain Belgium	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-4897-3787
Cemal Turan	Editorial Board	Iskenderun Technical University Turkey	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-9584-0261
Xander Wang	Editorial Board	University of Prince Edward Island Canada	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-3718-3416
Taoyuan Wei	Editorial Board	CICERO Center for International Climate Research Norway	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0002-6007-148X
Jennifer Wilkening	Editorial Board	USFWS USA	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-8748-4578
Katharina Wollenberg Valero	Editorial Board	University of Hull UK	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-8858-1804
Liqiang Xu	Editorial Board	Hefei University of Technology China	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Yangyang Xu	Editorial Board	Texas A&amp;M University USA	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0001-7173-7761
Jun Yang	Editorial Board	Northeastern University (Shenyang China) China	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Wei Yu	Editorial Board	Shanghai Ocean University China	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Tao Zhang	Editorial Board	Institute of Grassland Science, Northeast Normal University China	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Yi-Bo Zhang	Editorial Board	Institute of Plant Protection, Chinese Academy of Agricultural Sciences China	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-4530-9776
Zhihua Zhang	Editorial Board	Shandong University China	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	NA
Martin Ziegler	Editorial Board	Utrecht University Netherlands	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-3198-6434
Carl Zipper	Editorial Board	Virginia Tech USA	PLOS Climate	2767-3200	PLOS	https://journals.plos.org/climate/s/editorial-board	2022-01-18	0000-0003-2138-4165
