publisher	journal	role	editor	affiliation	url	date
BioMedCentral	Critical Care	NA	Charles L Sprung	Hadassah Hebrew University Medical Centre, Israel	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Jean-Louis Teboul	CHU Bicêtre, France	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Julien Textoris	bioMérieux, France	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Antoni Torres	Hospital Clínic of Barcelona, Spain	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Jesus Villar	"c(""Hospital Universitario de Gran Canaria Doctor Negrí"", ""n, Spain"")"	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Nadir Yehya	Children Hospital of Philadelphia, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Keith Walley	University of British Columbia, James Hogg Research Centre, Canada	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Julia Wendon	King's College Hospital, UK	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Jan Wernerman	Karolinska University Hospital Huddinge, Sweden	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Hector Wong	University of Cincinnati, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Hannah Wunsch	"c(""Sunnybrook Health Sciences Centre"", ""Canada"")"	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Sérgio Vencio	Institute of Pharmaceutical Sciences (ICF), Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Marcello Casaccia Bertoluci	Universidade Federal do Rio Grande do Sul, Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	NA	character(0)	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Davide Carvalho	Universidade do Porto, Portugal	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Vijay Eranki	Centegra Health System, USA	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Rahul Agrawal	The University of Utah, USA	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Mohammed Al-Gayyar	Mansoura University, Egypt	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Asmita Bhattacharya	Stanford University, USA	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Andrea Baragetti	University of Milan, Italy	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Aldo Bonaventura	University of Genoa, Italy	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
