publisher	journal	issn	role	editor	affiliation	url	date
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Scott Alan Miller, PhD	Department of Neuroanesthesiology Wake Forest Baptist Medical Center, USA	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Jon Ver Halen, PhD	Department of Plastic Surgery  University of Tennessee, USA	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Patrick M Dougherty, PhD	Department of Pain Medicine The University of Texas MD Anderson Cancer Center, USA	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Loreta Grecu, PhD	Yale University, USA	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Jingping Wang, PhD	Harvard University, USA	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Xiulu Ruan, PhD	LSU Health Sciences Center, USA	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Shamsuddin Akhtar, PhD	Yale University, USA	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Arthur Atchabahian, MD	New York University, USA	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Veeraindar Goli	Duke University Medical Center, USA	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Yun Guan, PhD	Johns Hopkins University School of Medicine, USA	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Feng Tao, PhD	Johns Hopkins University School of Medicine, USA	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Mirko Diksic , PhD	Department of Neurology and Neurosurgery McGill University, Canada	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Anthony Jones	University of Manchester, UK	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Mark I Johnson, PhD	Leeds Beckett University, UK	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Dumbor L Ngaage	Basildon University Hospital, UK	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
