editor	role	affiliation	journal	issn	publisher	url	date	orcid
Ritesh Kumar	Editorial Board	Wetlands International Netherlands	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-5731-0734
Ta-Kang Liu	Editorial Board	National Cheng Kung University Taiwan	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Mary Lusk	Editorial Board	University of Florida USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0003-2954-6181
Tafadzwanashe Mabhaudhi	Editorial Board	University of KwaZulu-Natal South africa	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-9323-8127
Deepesh Machiwal	Editorial Board	ICAR-Central Arid Zone Research Institute, Jodhpur, India India	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Chandra Madramootoo	Editorial Board	McGill University Canada	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Fadji Maina	Editorial Board	NASA Goddard Space Flight Center USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Sara Marks	Editorial Board	Eawag Switzerland	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0003-0566-3041
Jose Martínez-Paz	Editorial Board	Universidad de Murcia Spain	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-8412-7647
Silvia Monteiro	Editorial Board	Instituto Superior Tecnico, Universidade Lisboa Portugal	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-9943-0742
Sher Muhammad	Editorial Board	International Center for Integrated Mountain Development (ICIMOD) Nepal	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-7315-6450
